Epoch 0: Train Loss=0.2829, Val Loss=1.2520
Epoch 1: Train Loss=0.0844, Val Loss=1.2330
Epoch 2: Train Loss=0.0753, Val Loss=1.2062
Epoch 3: Train Loss=0.0700, Val Loss=1.2124
Epoch 4: Train Loss=0.0654, Val Loss=1.1990
Epoch 5: Train Loss=0.0621, Val Loss=1.1903
Epoch 6: Train Loss=0.0587, Val Loss=1.1983
Epoch 7: Train Loss=0.0556, Val Loss=1.1667
Epoch 8: Train Loss=0.0539, Val Loss=1.1656
Epoch 9: Train Loss=0.0522, Val Loss=1.1499
